Type,Plant - Common,Full Grown Characteristics,Flower Color,Soil Type,Sun Exposure,Foliage Color
PERENNIALS,Coneflower,"24""Tx30""W, rosey/purple flowers, June-Frost, Birds, Butterflies, Bees",Rosey Purple,Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"24""Tx30""W, white flowers, June-Frost, Birds, Butterflies, Bees",White,Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"18-24""Tx18-24""W, brilliant red flowers, July-Frost, Birds, Butterflies, Bees",Red ,Average,Full Sun,Dark Green
PERENNIALS,"Coneflower, Dwarf","24""Tx 24""W, deep rose flowers, June-Sept, birds, bees and butterflies, N",,,,
PERENNIALS,"Coneflower, Dwarf","18-24""Tx12-18""W, white flower, June-September, butterflies and birds                                       ",White,Average,Full Sun,Dark Green
PERENNIALS,"Coneflower, Dwarf","18-20""Tx18-24""W, fragrant, pink blooms with yellow cones, June-Sept, birds and butterflies",Pink w/Yellow Cones,,,
PERENNIALS,Coneflower,"18-24""Tx18-24""W, brilliant yellow flowers, June-Frost, Birds, Butterflies, Bees",Brilliant Yellow,Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"18-28""Tx18-24""W, deep magenta pink flowers with black stems and cone, June-Frost, Birds, Butterflies, Bees",Deep Magenta w/Blk Stem,Average,Full Sun,Dark Green
PERENNIALS,Coneflower,"18-28""Tx18-24""W, deep red/pink flowers, June-Sept, Birds, Butterflies, Bees",Deep Red/Pink,Average,Full Sun,Dark Green
PERENNIALS,Coral Bells,"18-24""Tx18-24""W, pink/white flowers,  May-early July, large bronze-purple foliage, hummingbirds, N",Pink/White,Average,Sun/Part Sun, Bronze/Purple
PERENNIALS,Coral Bells,"10-12""Tx24-30""W, light pink flowers, May-July, striking pink-purple maple-like foliage, hummingbirds",Light Pink,Average,Sun/Part Sun,Pink Purple  
PERENNIALS,Coral Bells,"12""Tx24-30""W, white flowers, May-July,  plum-purple foliage, hummingbirds",White ,Average,Sun/Part Sun,Plum Purple
PERENNIALS,Coral Bells,"12""Tx24-30""W, vibrant pink flowers, May-July, iridescent silver foliage turns rosey blush later in the season, hummingbirds",Vibrant Pink,Average,Sun/Part Sun,Iridescent silver to Rose blush
PERENNIALS,Coral Bells,"12-24""Tx15-18""W, white flowers, May-July, chartreuse foliage, hummingbirds, N",White ,Average,Sun/Part Sun,Chartreuse
PERENNIALS,Coral Bells,"8-12""Tx18-24""W, pink flowers, May-July, pink/apricot/burnt orange foliage, hummingbirds, butterflies, DR, DR, part shade, dry soil",Pink,Average,Sun/Part Sun,Pink/Apricot/Burnt Orange
PERENNIALS,Coral Bells,"5-6""Tx12-18""W, red flowers, early May, hummingbirds",Red,,,
PERENNIALS,Coral Bells,"12""Tx15-18""W, white flowers, May-July, lime-green foliage, butterflies and hummingbirds",White ,,,Lime Green   
PERENNIALS,Coral Bells,"18-24""Tx2-3'W, white flowers, September, lime green to chartreuse leaves, hummingbirds, N",White ,Average,Sun/Part Sun,Lime Green /chartreuse
PERENNIALS,Coral Bells,"8-10""Tx15-18""W, white flowers, June-July, striking almost black colored foliage, hummingbirds",White,Average,Sun/Part Sun,Almost Black
PERENNIALS,Culver's Root,"4-6'Tx3-5'W, 9""+long white-pale blue flower spires, late May (June/July), butterflies, moist soil, N",White/Pale Blue,Moist,Full Sun,Green
PERENNIALS,"Daisy, Montauk ","3'Tx3-5'W, white flowers, Sept-Frost, dark, glossy foliage",White,Average to dry,Full Sun,"Glossy, dark green"
PERENNIALS,"Daisy, Shasta ","3'Tx3'W, white flowers, June-July, butterflies",White w/yellow center,Average,Full Sun,Green
PERENNIALS,Daylily,"18""Tx18-24""W, reblooming, deep lemon-yellow flowers, May-Sept",Lemon Yellow,Average,Sun/Part Sun,Dark Green
PERENNIALS,Daylily,"36""Tx36""W, fragrant vivid yellow flowers, June-July",Vivid Yellow,Average,Sun/Part Sun,Dark Green
PERENNIALS,Daylily,"18""Tx30""W, yellow-orange flowers, June-Frost, rebloomer",Yellow/Orange,Average,Sun/Part Sun,Dark Green
PERENNIALS,Daylily,"28""Tx 24""W, dark raspberry-red flowers, velvety texture of petals, mid-summer                               Plant Group 6pts/flat @ $4.59/pt",Dark Rasberry Red,Average,Sun/Part Sun,Dark Green
PERENNIALS,Daylily,"34""Tx 24""W, dark red with yellow center with large spoon-shaped petals, early summer","Dk Red, yellow center",Average,Sun/Part Sun,Dark Green
PERENNIALS,Daylily,"26""Tx 24""W, fragrant, wine purple flowers with glowing chartreuse throat, ruffled petals, mid to late summer","Wine Purple, chartreuse",Average,Sun/Part Sun,Dark Green
PERENNIALS,Daylily,"30""Tx24""W, intense scarlet red flowers with ruffled edges, rebloomer",Scarlet Red,Average,Sun/Part Sun,Dark Green
PERENNIALS,Daylily,"33""Tx24""W, true purple with lime green throat flowers, mid-season bloom","Purple, lime green",Average,Sun/Part Sun,Dark Green
PERENNIALS,Daylily,"26""Tx 24""W, large, deep red to black flowers, mid-season, grass-like foliage                                      Plant Group 6pts/flat @ $4.59/pt",Deep Red/black,Average,Sun/Part Sun,Dark Green
PERENNIALS,Daylily,"12-18""Tx 18-24""W, melon pink flower with yellow throat, mid-season, grass-like foliage, rebloomer                                    ",Pink/yellow,Average,Sun/Part Sun,Dark Green
PERENNIALS,False Indigo,"3-4'Tx3-4'W, indigo blue pea-like flowers, May-June, N",Indigo blue,Average,Sun/Part Sun,Dark Green
PERENNIALS,False Indigo,"30-36""Tx4-5'W, chocolate/purple flrs, Spring, upright growth habit, needs poor soil, Deer Resistant, Bees",Chocolate/Purple,Average to poor,Sun/Part Sun,Deep Blue/Green
PERENNIALS,False Indigo,"30-36""Tx4-5'W, creamy vanilla flrs, Spring, upright growth habit, needs poor soil, Deer Resistant, Bees",Creamy Vanilla,Average to poor,Sun/Part Sun,Dark Green
PERENNIALS,Foamflower,"12""Tx12-15""W, white flowers, May-June, red-speckled dissected leaves, spreading habit, N",White ,Moist,Part/Full Shade,Red Speckled
PERENNIALS,Foamflower,"10-12""Tx10-12""W, white flowers, late April-early May, maple-like foliage, spreading habit, Fall Color, N",White,Moist,Part/Full Shade,Green
PERENNIALS,Foamflower,"8-10""Tx12-15""W, pink buds open to white flowers, May-June, green/purple veins foliage, mounding habit", White ,Moist,Part/Full Shade,Green w/ Purple veins
PERENNIALS,Foamy Bells,"12-16""Tx12-16""W, pink flowers, early May-August, trident-shaped med green/choco inlay foliage",Pink,Moist,Sun/Part Sun,Med Green w/Choc inlay
PERENNIALS,Foamy Bells,"18-20""Tx24-28""W, white flowers, April-May, trident-shaped cinnamon with orange foliage ",White,Moist,Sun/Part Sun,Cinnamon/Orange inlay
PERENNIALS,Foamy Bells,"8-12""Tx16-20""W, white flowers, April-June, blue/green-silver with burgundy veined foliage",White,Moist,Sun/Part Sun,"Blue-Green, Silver w/Burgundy veins"
PERENNIALS,Foamy Bells,"8-12""Tx16-20""W, white flowers, April-June, caramel/bronze-green foliage",White,Moist,Sun/Part Sun,Carmel w/ Bronze
PERENNIALS,Foamy Bells,"7-10""Tx18-24""W, white flowers, summer, frosted, blue foliage with green tones, silvery-pink in fall, Hummingbirds ",Pink,Moist,Sun/Part Sun,Frosted Blue/Green
PERENNIALS,Foamy Bells,"12""Tx18""W, pink flowers, summer, lightly silvered, green leaves with purple center, Hummingbirds",Pink,Moist,Sun/Part Sun,Lt Silvery Green w/ Purple 
PERENNIALS,Foamy Bells,"18""Tx18""W, shell pink flowers, May-July, coppery/bronze foliage turning dark green with coppery/bronze edges, Hummingbirds",Pink,Moist,Sun/Part Sun,Copper Bronze to Dark Green 
PERENNIALS,Forget-Me-Not,"6-8""Tx12-15""W, bright blue flowers, May-June",Blue,Moist,Sun/Part Sun,Grey Green
PERENNIALS,Foxglove,"3-4'Tx3'W,  tall spikes of bell-shaped, creamy white/spotted with purple flowers, late Spring to mid-Summer, Biennial, Bees",Cream w/purple spotted throat,Average,Sun/Part Sun,Green
PERENNIALS,Foxglove,"3-4'Tx3'W,  tall spikes of bell-shaped, purple/spotted with purple flowers, late Spring to mid-Summer, Biennial, Bees",Purple w/purple spotted throat,Average,Sun/Part Sun,Green
PERENNIALS,Foxglove,"3-4'Tx3'W,  tall spikes of bell-shaped, lavender/spotted with purple flowers, late Spring to mid-Summer, Biennial, Bees",Lavender w/purple spotted throat,Average,Sun/Part Sun,Deep Green
PERENNIALS,Gay Feather,"18-24""Tx12-18""W, pinkish-purple flower spikes, June-Sept (July/Aug), butterflies",Pink/Purple,Average,Full sun,Dark Green
PERENNIALS,Gay Feather,"18-24""Tx18-24""W, white flr spikes, Jun-Sept  (July/Aug), butterflies, bees, Deer Resist                                          Plant Group 4pts/flat @ $7.29/pt                        ",White ,Average,Full sun,Dark Green
PERENNIALS,"Gentian, Meadow Bottle","12""Tx24""W, deep blue-violet flrs, late Aug-Sept, dry-average soil, Deer Resist                                     Plant Group 6pts/flat @ $4.59/pt ",Deep Blue,Average to dry,Sun/Part Sun,Sun/Part Sun
PERENNIALS,Geum,"12-15""Tx12-15""W, double, bright orange-red flowers, May-June, deep green foliage",Orange/Red,Average,Sun/Part Sun,Deep Green
PERENNIALS,Geum,"8-12""Tx8-12""W, single orange flowers, May-July, deep green, shiny foliage ",Orange,Average,Sun/Part Sun,Shiny Deep Green
PERENNIALS,Geum,"18-24""Tx18-24""W, double scarlet-red flowers, late April-early Summer",Scarlet Red,Average,Sun/Part Sun,Deep Green
PERENNIALS,Geum,"8-10""Tx10-12""W, single yellow flowers, late April-early summer ",Yellow,Average,Sun/Part Sun,Deep Green
PERENNIALS,Goatsbeard ,"4-6'Tx4-6'W, spikes of cream/white flowers, June-July, N",Creamy White,Moist,Sun/Part Sun,Dark Green
PERENNIALS,Goatsbeard ,"3-4'Tx2-3'W, feathery spikes of cream/white flowers, Summer/Fall, Part Sun ", Creamy Yellow on red stems,Moist,Sun/Part Sun,Dark Green
PERENNIALS,Goldenrod,"24-30""Tx24-30""W, arching yellow flowers, late July-mid-Sept, N",Bright Yellow,Average,Full Sun,Deep Green
PERENNIALS,"Goldenrod, Seaside","3-4'Tx3-4'W, yellow flowers, late July-mid-Sept, succulent, bees, Salt Tolerant, DR, N                                                     North Creek",Yellow,Average,Full Sun,Deep Green
PERENNIALS,"Goldenrod, Wreath/Bluestem","2'Tx2'6""W, small yellow flowers, Aug-Oct, bees, can take shade, N                                                Plant Group 6pts/flat @ $4.59/pt ",Yellow,Average to dry,Sun/Part Sun,Medium Green
PERENNIALS,"Grass, Blue-eyed","8-10""Tx8-10""W, 3/4"" bright blue flowers, May-July, iris-like foliage",Bright Blue,Moist,Full Sun,Deep Green
PERENNIALS,Hellebore (Lenten Rose),"18-24""Tx24-36""W, red flowers, Feb-May, dark evergreen foliage, Deer Resistant",Red shades,Average,Part/Full Shade,Dark Green
PERENNIALS,Hellebore,"12-18""Tx 12-15""W, pink-peach, flowers, early March-May, evergreen foliage, Deer Resistant",Pink to Peach,Average,Part/Full Shade,Deep Green
PERENNIALS,Hellebore,"12-15""Tx18-21""W, light pink-burgundy flowers, March-May, evergreen foliage, Deer Resistant",Pink/Burgundy,Average,Part/Full Shade,"Silvery, Deep Green"
PERENNIALS,Hellebore,"9-12""Tx12-15""W, white flowers, late November-Jan, deep red stems, evergreen foliage, Deer resistant",White,Moist,Part/Full Shade,Deep Green w/ Red Stems
PERENNIALS,Hellebore,"2'Tx2'W, deep burgundy red flowers with red stems, late winter, evergreen, Deer Resistant ", Burgundy Red,Average,Part/Full Shade,Silvery Green
PERENNIALS,Hellebore,"2'Tx2'W, jet black, single flowers, late winter, evergreen, Deer Resistant                                         Plant Group 6pts/flat @ $10.49/pt       ",Jet Black,Average,Part/Full Shade,Evergreen
PERENNIALS,Hellebore,"2'Tx2'W, black-purple, double flowers, late winter, evergreen, Deer Resistant                                  Plant Group 6pts/flat @ $10.49/pt ",Black Purple,Average,Part/Full Shade,Evergreen
PERENNIALS,Hosta,"3-4'Tx4-5'W,  lavender flowers, Summer, huge, heavily corrugated, deep green with blue-tinged leaves ",Lavender ,Moist,Part/Full Shade,Dp Green w/Blue tinge
PERENNIALS,Hosta,"24""Tx 36""W, white flowers, August, huge, deeply cupped, powder blue/green foliage, Slug Resistant",White,Moist,Part/Full Shade,Powder blue/Green
PERENNIALS,Hosta,"32""Tx40""W, white flowers, August,  blue-green foliage with yellow border",White,Moist,Part/Full Shade,"Blue-Green, yellow border"
PERENNIALS,Hosta,"25""Tx48""W, lavender flowers, August, green margin with gold center leaves",Lavender,Moist,Part/Full Shade,Green w/ Gold center
PERENNIALS,Hosta,"25""x55""W, lavender flowers, mid-July-mid-August,  interesting leaves",Lavender,Moist,Part/Full Shade,"Chartreuse/cream, green margin"
PERENNIALS,Hosta,"15-18""Tx21-24""W, lavender flowers, September, blue-green leaves with cream borders",Lavender,Moist,Part/Full Shade,"Blue-Green, Cream Border"
PERENNIALS,Hosta,"20""Tx18""W, lavender flowers, July, green leaves with golden yellow border",Lavender,Moist,Part/Full Shade,"Green, gold yellow border"
PERENNIALS,Hosta,"21-24""Tx30-36""W, lavender flowers, August, dark green leaves ringed with white margins",Lavender,Moist,Part/Full Shade,"Dark Green, white margin"
PERENNIALS,Hosta,"30""Tx48""W, lavender flowers, July, large, oval, dusty blue foliage, upright, vaselike form                  Plant Group 8plts/flat @ $4.49/pt                   ",Lavender,Moist,Part/Full Shade,Dusty Blue
PERENNIALS,Hosta,"15-18""Tx24-30""W, lavender flowers, late July, yellow variegated foliage",Lavender,Moist,Part/Full Shade,Yellow Variegated
PERENNIALS,Hosta,"15-20""x30-40""W, pale lavender flowers, August, brilliant gold with dark green margins foliage",Pale lavender/white,Moist,Part/Full Shade,"Gold, dark green margin"
PERENNIALS,Hosta,"36""Tx30""W, light lavender flowers, August, blue-gray heavily textured foliage",Light Lavender,Moist,Part/Full Shade,Blue Gray
PERENNIALS,Hosta,"24""Tx18""W, fragrant white flowers, August, green, heart-shaped, deeply veined leaves",White,Moist,Part/Full Shade,Green 
PERENNIALS,Hosta,"4'Tx7'W, pale lavender flowers, early-mid Summer, heavy, very large blue green leaves, Bees and Hummers",Lavender,Moist,Part/Full Shade,Blue green
PERENNIALS,Hosta,"2'Tx4'W, white (lavender) flowers, early-mid Summer, heavily rippled, slightly cupped, cascading blue leave         Plant Group 8plts/flat @ $4.49/pt  ",Lavender,Moist,Part/Full Shade,Blue
PERENNIALS,Hosta,"30""Tx4'W, pale lavender flowers, early Summer, upright, vase-shaped, slighty cupped, corrugated, blue leaves",Pale lavender/white,Moist,Part/Full Shade,Blue
PERENNIALS,Hosta,"18""Tx3'W, white flowers (pale lavender), late Summer, heavily twisted, rippled, blue green leaves, Bees and Hummers",Pale Lavender,Moist,Part/Full Shade,Bluegrey Green
PERENNIALS,Indian Pink,"18-24""x15-18"", red/yellow tubular flower, late May, hummingbirds, N                                                                               North Creek",Red/Yellow,Average to moist,Sun/Part Sun,Glossy green
PERENNIALS,Iris,"28""Tx24-30""W, white blooms with yellow falls, June-July",White/Yellow,Average to moist,Sun/Part Sun,Green
PERENNIALS,Iris,"36""Tx30""W, white/yellow throat flower, May-June, moist soil",White/Yellow,Moist,Sun/Part Sun,Green
PERENNIALS,"Iris, Blue Flag","36""Tx30""W, bluish-purple flowers, early June-mid-late July, N",Bluish Purple,Average to wet,Sun/Part Sun,Green
PERENNIALS,"Iris, Japanese Variegated ","18-20""Tx12-15""W, red/purple flowers, June, creamy-yellow variegated foliage",Red/Purple,Average to moist,Sun/Part Sun,Creamy Variegated
PERENNIALS,"Ironweed, Narrowleaf","30-36""Tx30-36""W, flattened heads of deep purple flowers, Aug-Sept, butterflies, N",Deep Purple,Average to dry,Full sun,Green
PERENNIALS,"Ironweed, New York","3-4'Tx1-2'W, flattened heads of deep purple flowers, Aug-Sept, butterflies, N",Deep Purple,Average to moist,Full sun,Dark Green
PERENNIALS,Jacob's Ladder ,"15-18""x12-15""W, light purple/blue flowers, April, variegated foliage, N", Purple/Blue,Average,Part/Full Shade,Variegated
PERENNIALS,Joe Pye Weed,"5-6'Tx3-4'W, rosey-pink flowers, August-September, wildlife, N",Rosey Pink,Average to moist,Full sun,Dark Green
PERENNIALS,"Joe Pye Weed, Dwarf","3-4'Tx3-4'W, rosey-pink flowers, July-September, wildlife, N",Rosey Pink,Moist,Sun/Part Sun,Green
PERENNIALS,"Joe Pye Weed, Dwarf","2-3'Tx 2-3'W, rosey-pink flowers, July-September, wildlife, N                                                                        ",Rosey Pink,Moist,Sun/Part Sun,Green
PERENNIALS,Lady's Mantle,"8-10""Tx18-24""W, yellow-green flowers, late May-June, gray-green foliage",Yellow/Green,Average to moist,Sun/Part Sun,Gray Green
PERENNIALS,"Lady's Mantle, Dwarf","6""Tx8""W, yellow-green flowers, late May-June, gray-green foliage",Yellow,Average,Sun/Part Sun,Gray Green
PERENNIALS,Lambs Ears,"8-12""x18-24""W, huge, wooly, velvety, silvery-white leaves",Purplish pink,Average to dry,Full sun,Silvery white
PERENNIALS,Lambs Ears,"12-15""x18-24""W, fuzzy gray foliage, non-flowering",,Average to dry,Full sun,Silver gray
PERENNIALS,Larkspur ,"30-40""Tx24-36""W, double, deep blue flowers, late May-early July",Deep Blue,Average,Full sun,Green
PERENNIALS,Larkspur ,"30-40""Tx24-36""W,  double, white flowers, late May-early July",White,Average,Full sun,Green
PERENNIALS,Larkspur ,"12-18""Tx18-24""W,  clear, sky blue flowers, Summer, Pollinators, Cut Flower",Blue ,Average,Full sun,Green
PERENNIALS,Lavender,"12-18""Tx2-3'W, blue flowers, June-September, fragrant foliage, bees and butterflies ",Purple Blue,Average to dry,Full sun,Grey Green
PERENNIALS,Lavender,"12-15""Tx18""W, purple flowers, June-Sept, fragrant foliage, Bees and Butterflies, Cut Flower",Purple,Average to dry,Full sun,Grey Green
PERENNIALS,Lavender,"12-15""Tx2-3' W,  pale lavender flowers, June-September, fragrant foliage, bees and butterflies",Pale Lavender,Average to dry,Full sun,Grey Green
PERENNIALS,"Lavender, Dwarf","12-15""Tx16-18""W, fragrant deep purple flrs, Jun-Sept, fragrant gray-green foliage, Bees and Butterflies, Cut Flower",Deep Purple,Average to dry,Full sun,Grey Green
PERENNIALS,Leopardsbane,"10-12""Tx10-12""W, yellow, daisy-like flowers, mid-late April, deep green foliage",Yellow,Moist,Sun/Part Sun,Deep Green
PERENNIALS,Liriope,"8-10""Tx15-18""W, lavender flowers, August,  cream-variegated foliage, blue-black, berry-like fruit",Lavender,Average,Sun/Part Sun,Cream Variegated
PERENNIALS,Liriope,"8-10""Tx15-18""W, lavender flowers, August, blue-black, berry-like fruit",Lavender,Average,Sun/Part Sun,Dark Green
PERENNIALS,Liriope,"10-12""Tx12-18""W, pale lavender flowers, August, blue-black, berry-like fruit, green/white variegated foliage, spreading habit",,,,
PERENNIALS,Lungwort,"14""Tx30""W, pale blue flowers, April-May, spotted foliage",Pale Blue,Average,Part/Full Shade,"Deep Green, silver spots"
PERENNIALS,Lungwort,"10-12""Tx12-15""W, raspberry colored flowers, April-May, spotted foliage, self sower ",Rasberry ,Average,Part/Full Shade,"Deep Green, silver spots"
PERENNIALS,"Lupine, Wild Sundial","2-3'Tx15-18""W, bluish-purple flowers, late May-early July, deer resistant, butterflies, N",Blue/Purple,Average,Full sun,Green
PERENNIALS,"Marigold, Marsh","18-24""Tx18-24""W, yellow flowers, late April, wildlife, N",Yellow,Wet,Sun/Part Sun,Deep Green
PERENNIALS,Masterwort,"2'Tx2'W, pink flowers, Summer-Fall, moist soil/shade",Pink,Moist,Partial Shade,Medium Green
PERENNIALS,"Meadow Rue, Lavender Mist","6-7'Tx3-4'W, lavender flowers with yellow stamens, July-August, moist soil, full sun-part shade ","Lavender, yellow stamens",Average to moist,Sun/Part Sun,"Blue-green, purple stems"
PERENNIALS,Meadow Sage,"18""Tx18-24""W, deep purple flowers, June-July",Deep Purple,Average,Full sun,Medium Green
PERENNIALS,Meadow Sage,"12-18""Tx15-18""W, violet purple flowers & stems, June-Frost",Violet Purple w/purple stems,Average,Full sun,Medium Green
PERENNIALS,Meadow Sage,"8-12""Tx10-12""W, deep purple flowers, June-Sept, fragrant foliage",Deep Purple,Average,Full sun,Deep Green
PERENNIALS,"Milkweed, Swamp","3'Tx12-24""W, mauve/pink flowers, June-July, butterflies, bees, hummers, moist soil, N",Mauve Pink,Moist to wet,Full sun,Green
PERENNIALS,"Milkweed, Swamp","3'Tx12-24""W, white flowers, June-July, butterflies, bees, hummers, moist soil, N",White,Moist to wet,Full sun,Deep Green
PERENNIALS,"Milkweed, Whorled","2'Tx12-24""W, white flowers, mid-late summer, butterflies, bees, hummers, N",White,Average to dry,Sun/Part Sun,Green
PERENNIALS,"Montbretia, Lucifer","24""Tx18-24""W, deep, dark, fiery red, mid-late summer, bright green, grass-like, spear-shaped leaves",Dark Fiery Red,Average,Sun/Part Sun,Bright Green
PERENNIALS,"Mountain Mint, Short-toothed","2-3'Tx2-3'W, white flowers, late Summer, all kinds of Beneficial Insects, moist soil, N                           Plant Group 6pts/flat @ $4.59/pt",White ,Moist,Sun/Part Sun,Green
PERENNIALS,Obedient Plant,"24-30""Tx18-24""W, white flowers, June-July, bees, butterflies, hummingbirds, Deer Resistant",White,Average,Full sun,Dark Green
PERENNIALS,"Peony, Garden","36""Tx36""W, large, apple-blossom pink flowers, June",Apple Blossem Pink,Average to moist,Sun/Part Sun,Deep Green
PERENNIALS,"Peony, Garden","3'Tx3'W, fragrant, double white flowers with red flecks, early season                                                ",White/ Red Flecks,Average to moist,Sun/Part Sun,Deep Green
PERENNIALS,"Peony, Garden","3'Tx3'W, fragrant, double white flowers, early season",White,Average to moist,Sun/Part Sun,Deep Green
PERENNIALS,"Peony, Garden","30-36""Tx30-36""W, large, fragrant, rosey-reddish-pink flowers, early June",Rosey Red/Pink,Average to moist,Sun/Part Sun,Deep Green
PERENNIALS,"Phlox, Garden","18-24""Tx12-15""W, fragrant, deep purple/white-eyed flower, July",Deep Purple w/White Eye,Average,Sun/Part Sun,Medium Green
PERENNIALS,"Phlox, Garden","18-24""Tx15-18""W, white flowers, July-September, mildew-resistant",White ,Average,Sun/Part Sun,Medium Green
PERENNIALS,"Phlox, Garden","18-24""Tx12-15""W, fragrant, deep pink/white-eyed flower, July-September, mildew-resistant",Deep Pink White Eye,Average,Sun/Part Sun,Medium Green
PERENNIALS,"Phlox, Garden","18-24""Tx15-18""W, fragrant, pink-red-eyed flower, July-September, mildew-resistant",Pink/Red ,Average,Sun/Part Sun,Medium Green
PERENNIALS,"Phlox, Garden","36""Tx15-18""W, fragrant, pink flower, July-September, mildew-resistant, butterflies, bees",Lavender-Pink,Average,Sun/Part Sun,Medium Green
PERENNIALS,"Phlox, Garden","24-30""Tx15-18""W, fragrant, blue flowers, May- (July?) September, mildew-resistant, butterflies, bees, N",Blue,Average,Sun/Part Sun,Deep Green
PERENNIALS,Pinks,"3""Tx18-20""W, double rose-pink flowers, May-June, soft green foliage ",Rose Pink,Average,Full sun,Soft Green
PERENNIALS,Pinks,"3-5""Tx18-24""W, single deep violet-pink flowers, May-June, baby blue foliage",Deep Violet Pink,Average,Full sun,Baby Blue
PERENNIALS,Pinks,"4-6""Tx12-18""W, deep burgundy flowers, mid-May, bronzy-green, evergreen foliage",Deep Burgundy,Average,Full sun,Bronzy Green
PERENNIALS,"Pinks, Wild (Catchfly)","6-8""Tx10-15""W, deep pink flowers, late Spring, Hummingbirds, N",Deep Pink,Average,Sun/Part Sun,Green
PERENNIALS,Poppy,"30""Tx30-36""W, 3-4"" diameter flowers with black center, mid-May-June","Orange, black Center",Average,Full sun,Deep Green
PERENNIALS,"Poppy, Iceland","10-12""Tx12-18""W, orange/yellow/scarlet flowers, late April-Frost",Orange/Yellow/ Scarlet,Average,Sun/Part Sun,Blue-green
PERENNIALS,"Poppy, Celandine","18""Tx18""W, deep yellow flowers, April, shade, N",Deep Yellow,Moist,Part/Full Shade,Light Green
PERENNIALS,"Primrose, Orchid","12-24""x10-12"", orchid-pink flowers, May                                                                                   ",Orchard Pink,,,
PERENNIALS,Rose Mallow,"24-30""Tx24-30""W, 8""diameter pink with red eye flowers, late July-early September, N",Pink w/red eye,Moist to wet,Full sun,Green
PERENNIALS,"Sage, Russian","4'Tx2-3'W, lavender/blue flowers, Aug-September, fragrant silver foliage",Lavender/Blue,Average to dry,Full sun,Silver Green
PERENNIALS,"Sage, Russian Dwarf","2'Tx2-3'W, lavender/blue flowers, Aug-September, fragrant silver foliage",Lavender/Blue,Average to dry,Full sun,Silver Green
PERENNIALS,"Sea Holly, Big Blue","24-30""Tx24-30""W, violet blue, thistle-like flowers, late May-July, silvery-blue foliage",Violet Blue ,Dry,Full sun,Silver Blue
PERENNIALS,Sea Lavender,"2'Tx2'W, pale purple flowers, July-August, tidal shorelines, bees, N                                                          Plant Group 6pts/flat @ $4.59/pt                                        ",Pale Purple,Average,Full sun,Green
PERENNIALS,"Sea Thrift, Red-leaved","6-8""Tx10-12""W, rosey-pink, tuft-like flowers, purple-red, grass-like foliage, sand/salt environment",Rosey Pink ,"Dry, sandy",Full sun,Purple/Red  
PERENNIALS,"Snakeroot, Brunette","3-4'Tx18-24""W, deep purple leaves, pink/white fragrant flowers, Aug-Oct, N",Pink/White,Average to moist,Part/Full Shade,Deep Purple
PERENNIALS,Sneezeweed,"28-32""Tx18-24""W, brilliant yellow daisy-like flowers, July-Frost",Brilliant Yellow,Average to moist,Full sun,Green
PERENNIALS,Sneezeweed,"36""Tx30""W,  yellow/orange-red daisy-like flowers, late June-Summer","Yellow,Orange,Red",Average to moist,Full sun,Green
PERENNIALS,"Solomon's Seal, Small","20-24""Tx20-24""W, greenish-yellow, bell-like flowers, May, green foliage, berries, N                             Plant Group 6pts/flat @ $5.69/pt",Greenish/Yellow,Moist,Part/Full Shade,Light Green
PERENNIALS,"Solomon's Seal, Variegated","18-20""Tx12-15""W, pink buds/white flowers, May, clumper",White,Moist,Part/Full Shade,Green w/Cream edge
PERENNIALS,Speedwell,"12""Tx15-18""W, deep blue flower, June-August, clumper  ",Deep Blue,Average,Full sun,Deep Green
PERENNIALS,Speedwell,"6""Tx12-18""W, light pink flowers, Summer, bees, butterflies, Deer Resistant",Light Pink,Average,Full sun,Green
PERENNIALS,"Spurge, Cushion","10-12""Tx15-18""W, screaming yellow flowers, late April-June, chartreuse, green turning red foliage",Screaming Yellow,Dry,Full sun,Chartreuse 
PERENNIALS,"Stachys, Hummelo","18-24""Tx18-24""W, lavender-rose flrs, July-Sept, deep green foliage, butterflies      ",Lavender Rose,Average,Sun/Part Sun,Deep Green
PERENNIALS,Stonecrop,"18-24""x18-24""W, pink-deep red flowers, Aug-October, butterflies ",Pink/Deep Red ,Average to dry,Full sun,Green
PERENNIALS,Stonecrop,"2'Tx4'W, yellow flowers, August-October, succulent foliage, Bees and Butterflies",Yellow,Average to dry,Full sun,Grey-Green
PERENNIALS,Stonecrop,"1.5'Tx3'W, deep, rose-purple flrs, Aug, stems & leaves-deep burgundy hue        ",Deep Rose Purple,Average to dry,Full sun,Dp Burgundy
PERENNIALS,Stonecrop,"1'Tx3'W, deep, rose-pink flrs, July-Aug, purple-tinted leaves, tight and compact                              Plant Group 6pts/flat @ $4.59/pt",Deep Rose Pink,Average to dry,Full sun,Purple 
PERENNIALS,"Sunflower, False","3-4'Tx2-3'W, golden daisy-like flower, all summer, N",Golden Yellow,Average,Full sun,Green
PERENNIALS,"Sunflower, False","3-4'Tx18-24""W, orange-yellow daisy flowers, red stems, June-September, N",Orange-Yellow,Average,Full sun,"Deep Green, Red Stems"
PERENNIALS,Tickseed,"3-6""Tx6""W, yellow flowers, blooms all summer",Yellow,,Full sun,
